Alert,EmailTo,EmailCC,EmailDescription,Severity,AlertID
com.zerto.event.UndoRollbackFailed,example.user@company.com,example.user2@company.com,Zerto Undo Rollback Failed,Error,"VPG0008,VRA0049"
com.zerto.event.UnprotectedVMsError,example.user@company.com,example.user2@company.com,Zerto Unprotected VMs Error,Error,VPG0027
com.zerto.event.VraCloneVolume,example.user@company.com,example.user2@company.com,Zerto Vra Clone Volume,Error,"VRA0014,VRA0015,VRA0016,VRA0017"
com.zerto.event.VraDidntReceiveIp,example.user@company.com,example.user2@company.com,Zerto Receive Ip Vra,Error,VRA0002
com.zerto.event.VraDiskboxScsiGuidMismatch,example.user@company.com,example.user2@company.com,Zerto Vra Diskbox Guid Mismatch,,-
com.zerto.event.VraIpChanged,example.user@company.com,example.user2@company.com,Zerto Vra Ip Changed,Error,"VRA0003,VRA0004"
com.zerto.event.VraLogVolume,example.user@company.com,example.user2@company.com,Zerto Vra Log Volume,Error,"VRA0006,VRA0007"
com.zerto.event.VraPoweredOff,example.user@company.com,example.user2@company.com,Zerto Vra Powered Off,Error / Warning,VRA0028
com.zerto.event.VraProtectedVolume,example.user@company.com,example.user2@company.com,Zerto Vra Protected Volume,Error,"VRA0018,VRA0019,VRA0020,VRA0021,VRA0022,VRA0025"
com.zerto.event.VRARegistrationFailed,example.user@company.com,example.user2@company.com,Zerto Vraregistration Failed,Error,"VRA0023,VRA0015,VRA0016,VRA0017"
com.zerto.event.VRAsReconciliation,example.user@company.com,example.user2@company.com,Zerto Vras Reconciliation,Error,VRA0037
com.zerto.event.VraTargetVolume,example.user@company.com,example.user2@company.com,Zerto Vra Target Volume,Error,"VRA0008,VRA0009,VRA0010,VRA0011,VRA0012,VRA0013  "
com.zerto.event.VraToVraConnection,example.user@company.com,example.user2@company.com,Zerto Vra Connection Vra,Error,VRA0006
com.zerto.event.ZVM lost access to Azure,example.user@company.com,example.user2@company.com,Zerto  to  Azure ZVM lost,,-
com.zerto.event.ZvmToVraConnection,example.user@company.com,example.user2@company.com,Zerto Vra Connection Zvm,Error,ZVM0002
com.zerto.event.ZvmToZvmConnection,example.user@company.com,example.user2@company.com,Zerto Zvm Connection Zvm,Error / Warning,"ZVM0003,ZVM0004"
com.zerto.event.ZvmToZvmSync,example.user@company.com,example.user2@company.com,Zerto Zvm Sync Zvm,Warning,ZVM0010
com.zerto.event.ZvmTweaksLoadFailed,example.user@company.com,example.user2@company.com,Zerto Load Failed Zvm,,-
com.zerto.event.ProtectedVmScsiMismatch,example.user@company.com,example.user2@company.com,Zerto Scsi Mismatch Protected,Error,ZVM0012
com.zerto.event.VirtualMachineHasZeroSizeVolumeName ,example.user@company.com,example.user2@company.com,Zerto VM Zerto sive Volume ,Error,VPG0044
com.zerto.event.LowDiskFreeSpace,example.user@company.com,example.user2@company.com,Zerto Free Space Low,Warning,ZVM0005
com.zerto.event.BackupFailsConstantlyError,example.user@company.com,example.user2@company.com,Zerto Backup Failure,Error,BCK0002
com.zerto.event.BackupFailsConstantlyWarning,example.user@company.com,example.user2@company.com,Zerto Backup Failure Warning,Warning,BCK0001
com.zerto.event.BackupTargetDisconnected,example.user@company.com,example.user2@company.com,Zerto Backup Repository Disconnect,Error / Warning,BCK0005
com.zerto.event.BackupTargetIsNone,example.user@company.com,example.user2@company.com,Zerto Backup Repository not found,Warning,BCK0007
com.zerto.event.VbaDisconnected,example.user@company.com,example.user2@company.com,Zerto VBA Service Disconnected,Error,BCK0006
com.zerto.event.MissingOrgVdcNetworkMapping,example.user@company.com,example.user2@company.com,Zerto Missing Org Network ,Warning,VPG0025
com.zerto.event.MissingRecoveryOrgVdcNetworkMapping,example.user@company.com,example.user2@company.com,Zerto Missing Recovery Network Mapping,Error,VPG0028
com.zerto.event.NoMatchingStorageProfile,example.user@company.com,example.user2@company.com,Zerto No Storage Profile Match,Error,VPG0018
com.zerto.event.RecoveryDatastoreNotInStorageProfile,example.user@company.com,example.user2@company.com,Zerto Recovery Datastore not in Storage Profile,Error,VPG0024
com.zerto.event.RecoveryProviderVDCStorageProfileDisabled,example.user@company.com,example.user2@company.com,Zerto Provider Storage Profile Disabled,Error,VPG0022
com.zerto.event.RecoveryProviderVDCStorageProfileNotFound,example.user@company.com,example.user2@company.com,Zerto Provider Storage Profile Not Found,Error,VPG0021
com.zerto.event.RecoveryStorageProfileDisabled,example.user@company.com,example.user2@company.com,Zerto Storage Profile Disabled,Error,VPG0019
com.zerto.event.RecoveryStorageProfileNotFound,example.user@company.com,example.user2@company.com,Zerto Storage Profile Not Found ,Error,VPG0020
com.zerto.event.RecoveryVcenterStorageProfileMissing,example.user@company.com,example.user2@company.com,Zerto vCenter Storage Profile Missing,Error,"VPG0018,VPG0023"
com.zerto.event.ResourcePoolInsufficientError,example.user@company.com,example.user2@company.com,Zerto Resource Pool Insuffcient Error,Error,VPG0015
com.zerto.event.ResourcePoolMissingError,example.user@company.com,example.user2@company.com,Zerto Resource Pool Missing ,Error,VPG0016
com.zerto.event.ServiceProfileMissing,example.user@company.com,example.user2@company.com,Zerto Service Profile Missing,Warning,VPG0026
com.zerto.event.VCDConnector,example.user@company.com,example.user2@company.com,Zerto vCD Connection Problem ,Error,"VCD0014,VCD0015,VCD0018"
com.zerto.event.VCDReflection,example.user@company.com,example.user2@company.com,Zerto vCD Reflection Problem ,Error,"VCD0001,VCD0002,VCD0003,VD0004,VCD0005,VCD0006,VCD0007,VCD0010,VCD0016,VCD0017,VCD0020,VCD0021"
com.zerto.event.VPGOutOfZorgOnProtected,example.user@company.com,example.user2@company.com,Zerto VPG out of Zerto Protected Side,Warning,VPG0035
com.zerto.event.VPGOutOfZorgOnRecovery,example.user@company.com,example.user2@company.com,Zerto VPG out of Zerto Recovery Side,Warning,VPG0036
com.zerto.event.Win2003VmDuringReplicationToVCD,example.user@company.com,example.user2@company.com,Zerto Win2k3 VM Replicating to vCD,Error,VPG0041
com.zerto.event.CloudConnector,example.user@company.com,example.user2@company.com,Zerto Cloud Connector Problem,Error,ZCC0002
com.zerto.event.Ghost CloudConnector,example.user@company.com,example.user2@company.com,Zerto Ghost Cloud Connector ,Error,ZCC0001
com.zerto.event.LastTest,example.user@company.com,example.user2@company.com,The VPG has not been tested or was tested a long time ago,Warning,"vpg0011,vpg0012"
com.zerto.event.License,example.user@company.com,example.user2@company.com,There is a problem with the license,Warning,"LIC0001,LIC0003,LIC0004,LIC0006,LIC0007,LIC0009,LIC0010,LIC0011"
com.zerto.event.RecoveryBeforeCommit,example.user@company.com,example.user2@company.com,The VPG is waiting to be committed or rolled back,Warning,VPG0014
com.zerto.event.UninstalledHost,example.user@company.com,example.user2@company.com,The host has no VRA installed,Warning,VRA0001
com.zerto.event.VirtualMachine,example.user@company.com,example.user2@company.com,For internal use only,-,-
com.zerto.event.ZertoGenericAlert,example.user@company.com,example.user2@company.com,Zerto generic alert - check Zerto UI for details,Warning,VRA0030
